

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

522.338  000.291  000.291: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\key_map.vim
523.981  000.443  000.443: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\bookmark.vim
525.674  000.436  000.436: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\tree_file_node.vim
527.694  000.797  000.797: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\tree_dir_node.vim
529.381  000.417  000.417: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\opener.vim
531.051  000.457  000.457: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\creator.vim
532.490  000.182  000.182: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\flag_set.vim
533.997  000.309  000.309: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\nerdtree.vim
535.807  000.605  000.605: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\ui.vim
537.176  000.169  000.169: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\event.vim
538.578  000.176  000.176: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\notifier.vim
541.388  001.510  001.510: sourcing C:\Users\matej\.vim\plugged\nerdtree\autoload\nerdtree\ui_glue.vim
549.971  000.979  000.979: sourcing C:\Users\matej\.vim\plugged\vim-devicons\nerdtree_plugin\webdevicons.vim
551.762  000.297  000.297: sourcing C:\Users\matej\.vim\plugged\nerdtree\nerdtree_plugin\exec_menuitem.vim
617.550  044.006  044.006: sourcing C:\tools\Neovim\share\nvim\runtime\autoload\provider\clipboard.vim
618.458  066.383  022.377: sourcing C:\Users\matej\.vim\plugged\nerdtree\nerdtree_plugin\fs_menu.vim
619.053  000.268  000.268: sourcing C:\Users\matej\.vim\plugged\nerdtree\nerdtree_plugin\vcs.vim
843.101  223.225  223.225: sourcing C:\Users\matej\.vim\plugged\nerdtree-execute\nerdtree_plugin\execute_menuitem.vim
847.227  334.033  035.060: sourcing C:\Users\matej\.vim\plugged\nerdtree\plugin\NERD_tree.vim
848.315  000.186  000.186: sourcing C:\Users\matej\.vim\plugged\zen-mode.nvim\plugin\zen-mode.vim
849.527  000.524  000.524: sourcing C:\Users\matej\.vim\plugged\telescope.nvim\plugin\telescope.vim
850.492  000.238  000.238: sourcing C:\Users\matej\.vim\plugged\plenary.nvim\plugin\plenary.vim
851.446  000.163  000.163: sourcing C:\Users\matej\.vim\plugged\nvim-web-devicons\plugin\nvim-web-devicons.vim
852.534  000.382  000.382: sourcing C:\Users\matej\.vim\plugged\undotree\plugin\undotree.vim
853.875  000.546  000.546: sourcing C:\Users\matej\.vim\plugged\toggleterm.nvim\plugin\toggleterm.vim
857.778  001.313  001.313: sourcing C:\Users\matej\.vim\plugged\vim-go\autoload\go\config.vim
860.779  000.861  000.861: sourcing C:\Users\matej\.vim\plugged\vim-go\autoload\go\util.vim
860.880  006.261  004.087: sourcing C:\Users\matej\.vim\plugged\vim-go\plugin\go.vim
861.875  000.267  000.267: sourcing C:\Users\matej\.vim\plugged\elm-vim\plugin\elm.vim
862.853  000.197  000.197: sourcing C:\Users\matej\.vim\plugged\vimtex\plugin\vimtex.vim
864.031  000.467  000.467: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\plugin\vim-lsp-cxx-highlight.vim
866.259  001.504  001.504: sourcing C:\Users\matej\.vim\plugged\nvim-treesitter\plugin\nvim-treesitter.vim
869.575  002.144  002.144: sourcing C:\Users\matej\.vim\plugged\playground\plugin\nvim-treesitter-playground.vim
872.218  001.550  001.550: sourcing C:\Users\matej\.vim\plugged\nvim-ts-context-commentstring\plugin\ts_context_commentstring.vim
873.402  000.443  000.443: sourcing C:\Users\matej\.vim\plugged\markdown-preview.nvim\plugin\mkdp.vim
874.464  000.315  000.315: sourcing C:\Users\matej\.vim\plugged\nvim-lspconfig\plugin\lspconfig.vim
875.529  000.328  000.328: sourcing C:\Users\matej\.vim\plugged\nvim-lsp-installer\plugin\nvim-lsp-installer.vim
876.437  000.163  000.163: sourcing C:\Users\matej\.vim\plugged\nvim-jdtls\plugin\nvim_jdtls.vim
879.740  000.242  000.242: sourcing C:\Users\matej\.vim\plugged\ultisnips\autoload\UltiSnips\map_keys.vim
879.944  002.782  002.539: sourcing C:\Users\matej\.vim\plugged\ultisnips\plugin\UltiSnips.vim
880.833  000.158  000.158: sourcing C:\Users\matej\.vim\plugged\vim-snippets\plugin\vimsnippets.vim
885.309  000.652  000.652: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\gzip.vim
885.714  000.111  000.111: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\health.vim
886.236  000.245  000.245: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\man.vim
899.634  000.759  000.759: sourcing C:\tools\Neovim\share\nvim\runtime\pack\dist\opt\matchit\plugin\matchit.vim
900.244  013.725  012.966: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\matchit.vim
900.936  000.400  000.400: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\matchparen.vim
901.387  000.130  000.130: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\netrwPlugin.vim
902.486  000.821  000.821: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\rplugin.vim
903.071  000.298  000.298: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\shada.vim
903.534  000.140  000.140: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\spellfile.vim
904.216  000.392  000.392: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\tarPlugin.vim
904.828  000.314  000.314: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\tohtml.vim
905.289  000.143  000.143: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\tutor.vim
905.956  000.380  000.380: sourcing C:\tools\Neovim\share\nvim\runtime\plugin\zipPlugin.vim
931.206  012.161  012.161: sourcing C:\Users\matej\.vim\plugged\nvim-cmp\plugin\cmp.lua
932.730  054.489: loading rtp plugins
933.436  000.707: loading packages
934.831  000.346  000.346: sourcing C:\Users\matej\.vim\plugged\ultisnips\after\plugin\UltiSnips_after.vim
941.523  003.030  003.030: sourcing C:\Users\matej\.vim\plugged\cmp-nvim-lsp\after\plugin\cmp_nvim_lsp.lua
943.870  001.596  001.596: sourcing C:\Users\matej\.vim\plugged\cmp-nvim-lua\after\plugin\cmp_nvim_lua.lua
950.575  005.976  005.976: sourcing C:\Users\matej\.vim\plugged\cmp-buffer\after\plugin\cmp_buffer.lua
953.189  001.864  001.864: sourcing C:\Users\matej\.vim\plugged\cmp-path\after\plugin\cmp_path.lua
955.726  001.817  001.817: sourcing C:\Users\matej\.vim\plugged\cmp-emoji\after\plugin\cmp_emoji.lua
964.921  000.083  000.083: sourcing C:\Users\matej\.vim\plugged\ultisnips\plugin\UltiSnips.vim
969.942  000.415  000.415: sourcing C:\Users\matej\.vim\plugged\cmp-nvim-ultisnips\autoload\cmp_nvim_ultisnips.vim
970.190  013.732  013.234: sourcing C:\Users\matej\.vim\plugged\cmp-nvim-ultisnips\after\plugin\cmp_nvim_ultisnips.lua
970.298  008.501: loading after plugins
970.353  000.055: inits 3
979.900  009.547: reading ShaDa
980.572  000.672: opening buffers
982.455  000.380  000.380: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter.vim
985.771  000.412  000.412: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\autoload\lsp_cxx_hl\hl.vim
985.883  004.519: BufEnter autocommands
985.892  000.008: editing files in windows
988.909  001.773  001.773: sourcing C:\Users\matej\.vim\plugged\vim-startify\autoload\startify.vim
997.355  006.494  006.494: sourcing C:\Users\matej\.vim\plugged\vim-startify\autoload\startify\fortune.vim
1038.681  000.447  000.447: sourcing C:\Users\matej\.vim\plugged\vim-startify\syntax\startify.vim
1086.305  000.370  000.370: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\autoload\lsp_cxx_hl.vim
1088.425  000.347  000.347: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\autoload\lsp_cxx_hl\client\vim_lsp.vim
1092.914  000.226  000.226: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\autoload\lsp_cxx_hl\client\LanguageClient.vim
1097.368  000.223  000.223: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\autoload\lsp_cxx_hl\client\coc.vim
1099.525  000.240  000.240: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\autoload\lsp_cxx_hl\client\nvim_lsp.vim
1101.917  000.427  000.427: sourcing C:\Users\matej\.vim\plugged\vim-lsp-cxx-highlight\syntax\lsp_cxx_highlight.vim
1102.019  105.581: VimEnter autocommands
1102.027  000.007: UIEnter autocommands
1102.031  000.005: before starting main loop
1104.351  002.319: first screen update
1104.361  000.010: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.037  000.037: --- NVIM STARTING ---
021.499  021.462: locale set
022.545  001.046: inits 1
022.939  000.393: window checked
027.684  004.745: parsing arguments
027.840  000.157: expanding arguments
027.946  000.106: inits 2
031.637  003.691: init highlight
031.644  000.007: waiting for UI
040.300  008.656: done waiting for UI
040.340  000.040: init screen for UI
040.395  000.055: init default mappings
040.788  000.392: init default autocommands
045.650  000.242  000.242: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\synload.vim
062.665  016.523  016.523: sourcing C:\tools\Neovim\share\nvim\runtime\filetype.vim
064.884  000.979  000.979: sourcing C:\tools\Neovim\share\nvim\runtime\scripts.vim
065.163  022.846  005.102: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\syntax.vim
066.541  000.335  000.335: sourcing C:\tools\Neovim\share\nvim\runtime\syntax/nosyntax.vim
067.275  000.240  000.240: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\synload.vim
067.535  002.054  001.478: sourcing C:\tools\Neovim\share\nvim\runtime\syntax\syntax.vim
068.291  026.417  001.518: sourcing C:\Users\matej/.vimrc
